# Questions for az-900 certification (azure fundamentals)
# Question, Answer, Extra Info
# do not include extraneous commas in the fields - use semicolons if needed
Whats that fancy web server/reverse proxy/load balance thing?, nginx, a high-performance; open-source web server; reverse proxy; load balancer; and HTTP cache; designed for low memory usage and high concurrency.
NSG meaning?, Network Security Group, a security feature in Azure that allows you to control inbound and outbound traffic to your Azure resources; it contains security rules that allow or deny traffic based on source and destination IP addresses; ports; and protocols.
Two types of 'domains' that availability sets are grouped by ?/?, update/fault, The update process is given a 30-minute time to recover before maintenance on the next Update domain starts; The fault domain groups your VMs by common power source and network switch (x3 is default)
Provides a dedicated private connectivity to Azure that doesn't travel over the internet?, ExpressRoute, a service that provides a private connection between your on-premises infrastructure and Azure datacenters; it offers higher security; reliability; and speed compared to typical internet connections.
Ways of running a small program or script: older/newer?, webjob/functions, WebJobs can be run through Azure App service on a more fixed cost basis; Azure Functions stand alone and only bill for the time your code is running
BPG Meaning?, Border Gateway Protocol, Commonly used in the Internet to exchange routing and reachability information between two or more networks.
This allows two Azure virtual networks to connect directly to each other; so they appear as one, peering, Networks can be in separate regions; Traffic is private and travels on MS backbone
Command to switch from bash/PowerShell to pure Azure in a fancier CLI?, az interactive, You can type az commands directly here.
LRS = ?? Redundant Storage / # of nines uptime rating?, Locally/11, Locally Redundant Storage (LRS) replicates your data three times (x3) within a single data center in the same region; it provides 99.999999999% (11 nines) durability of objects over a given year.
GRS = ?? Redundant Storage / # of nines uptime rating?, Geo/16, Geo-Redundant Storage (GRS) replicates your data to a secondary region hundreds of miles away from the primary region; it provides 99.99999999999999% (16 nines) durability of objects over a given year.
ZRS = ?? Redundant Storage / # of nines uptime rating?, Zone/12, Zone-Redundant Storage (ZRS) replicates your data synchronously across three Azure availability zones in the same region; it provides 99.9999999999% (12 nines) durability of objects over a given year.
Type of storage account if you need support for network file system (NFS), Premium file shares, Recommended for enterprise or high-performance scale applications. Use this account type if you want a storage account that supports both Server Message Block (SMB) and NFS file shares.
Premium Block Blobs & Premium File Share storage accounts support which redundancy options?, LRS/ZRS, Premium storage account type for block blobs and append blobs. Recommended for scenarios with high transaction rates or that use smaller objects or require consistently low storage latency.
Type of storage account that only supports LRS redundancy?, Premium Page Blobs, Only supports LRS redundancy because it is designed for high-performance workloads that require low latency and high IOPS; it is not intended for scenarios that require geo-redundancy or zone-redundancy.
Storage account names must be between ?/? characters long?, 3/24, Storage account names must be between 3 and 24 characters in length; they can contain only lowercase letters and numbers; and must be unique across Azure.
